0.86	0	0	0	0	0.0392	0.4544	0.4974	0.009
0.87	0	0	0	0	0.031386	0.42486	0.52946	0.014292
0.88	0	0	0	0	0.024686	0.39407	0.55991	0.021333
0.89	0	0	0	0	0.019014	0.36239	0.58822	0.030375
0.9	0	0	0	0	0.014286	0.33016	0.61389	0.041667
0.91	0	0	0	0	0.010414	0.29774	0.63639	0.055458
0.92	0	0	0	0	0.0073143	0.26549	0.6552	0.072
0.93	0	0	0	0	0.0049	0.23374	0.66981	0.091542
0.94	0	0	0	0	0.0030857	0.20287	0.67971	0.11433
0.95	0	0	0	0	0.0017857	0.17321	0.68438	0.14062
0.96	0	0	0	0	0.00091429	0.14513	0.68329	0.17067
0.97	0	0	0	0	0.00038571	0.11897	0.67594	0.20471
0.98	0	0	0	0	0.00011429	0.095086	0.6618	0.243
0.99	0	0	0	0	1.4286e-05	0.07383	0.64036	0.28579
1	0	0	0	0	0	0.055556	0.61111	0.33333
