    xt           yt
  0.70   0.69537784
  0.69   0.69005882
  0.69   0.68476051
  0.68   0.67949715
  0.68   0.67428207
  0.67   0.66912756
  0.67   0.66404474
  0.66   0.65904353
  0.66   0.65413260
  0.65   0.64931931
  0.65   0.64460972
  0.64   0.64000860
  0.64   0.63551949
  0.63   0.63114469
  0.63   0.62688534
  0.62   0.62274152
  0.62   0.61871229
  0.62   0.61479577
  0.61   0.61098926
  0.61   0.60728931
  0.61   0.60369179
  0.60   0.60019201
  0.60   0.59678478
  0.60   0.59346450
  0.59   0.59022523
  0.59   0.58706075
  0.59   0.58396465
  0.58   0.58093037
  0.58   0.57795127
  0.58   0.57502066
  0.57   0.57213187
  0.57   0.56927833
  0.57   0.56645353
  0.57   0.56365119
  0.56   0.56086520
  0.56   0.55808973
  0.56   0.55531931
  0.55   0.55254881
  0.55   0.54977358
  0.55   0.54698946
  0.55   0.54419288
  0.54   0.54138088
  0.54   0.53855124
  0.54   0.53570248
  0.53   0.53283393
  0.53   0.52994581
  0.53   0.52703925
  0.53   0.52411630
  0.52   0.52117999
  0.52   0.51823431
  0.52   0.51528420
  0.51   0.51233552
  0.51   0.50939500
  0.51   0.50647017
  0.51   0.50356927
  0.50   0.50070112
  0.50   0.49787501
  0.50   0.49510056
  0.49   0.49238752
  0.49   0.48974558
  0.49   0.48718423
  0.49   0.48471251
  0.48   0.48233881
  0.48   0.48007066
  0.48   0.47791454
  0.48   0.47587567
  0.47   0.47395781
  0.47   0.47216312
  0.47   0.47049198
  0.47   0.46894289
  0.47   0.46751238
  0.47   0.46619494
  0.47   0.46498298
  0.46   0.46386688
  0.46   0.46283499
  0.46   0.46187379
  0.46   0.46096794
  0.46   0.46010051
  0.46   0.45925315
  0.46   0.45840634
  0.46   0.45753964
  0.46   0.45663201
  0.46   0.45566209
  0.46   0.45460855
  0.45   0.45345040
  0.45   0.45216736
  0.45   0.45074017
  0.45   0.44915090
  0.45   0.44738331
  0.45   0.44542306
  0.44   0.44325802
  0.44   0.44087844
  0.44   0.43827720
  0.44   0.43544985
  0.43   0.43239478
  0.43   0.42911322
  0.43   0.42560922
  0.42   0.42188962
  0.42   0.41796393
  0.42   0.41384415
  0.41   0.40954459
  0.41   0.40508161
  0.40   0.40047334
  0.40   0.39573939
  0.39   0.39090046
  0.39   0.38597803
  0.38   0.38099396
  0.38   0.37597014
  0.37   0.37092808
  0.37   0.36588861
  0.36   0.36087144
  0.36   0.35589495
  0.35   0.35097580
  0.35   0.34612872
  0.34   0.34136631
  0.34   0.33669882
  0.33   0.33213404
  0.33   0.32767726
  0.33   0.32333117
  0.32   0.31909596
  0.32   0.31496934
  0.31   0.31094669
  0.31   0.30702119
  0.31   0.30318405
  0.30   0.29942474
  0.30   0.29573126
  0.29   0.29209045
  0.29   0.28848825
  0.29   0.28491010
  0.28   0.28134119
  0.28   0.27776687
  0.28   0.27417289
  0.27   0.27054576
  0.27   0.26687301
  0.27   0.26314348
  0.26   0.25934750
  0.26   0.25547716
  0.25   0.25152639
  0.25   0.24749116
  0.25   0.24336950
  0.24   0.23916157
  0.24   0.23486968
  0.23   0.23049819
  0.23   0.22605349
  0.22   0.22154387
