4.8171	0.76942	-4.7161e-16	0.29389	0.76942
4.8695	0.88004	-5.3716e-16	0.40451	0.88004
4.9218	0.76942	-6.0251e-16	0.47553	0.76942
4.9742	0.5	-6.6658e-16	0.5	0.5
5.0265	0.18164	-7.2826e-16	0.47553	0.18164
5.0789	-0.07102	-7.8645e-16	0.40451	-0.07102
5.1313	-0.18164	-8.401e-16	0.29389	-0.18164
5.1836	-0.13938	-8.882e-16	0.15451	-0.13938
5.236	-2.3887e-15	-9.298e-16	4.4409e-16	-1.954e-15
5.2883	0.13938	-9.6407e-16	-0.15451	0.13938
5.3407	0.18164	-9.903e-16	-0.29389	0.18164
5.3931	0.07102	-1.0079e-15	-0.40451	0.07102
5.4454	-0.18164	-1.0165e-15	-0.47553	-0.18164
5.4978	-0.5	-1.0157e-15	-0.5	-0.5
5.5501	-0.76942	-1.0055e-15	-0.47553	-0.76942
5.6025	-0.88004	-9.8593e-16	-0.40451	-0.88004
5.6549	-0.76942	-9.5726e-16	-0.29389	-0.76942
5.7072	-0.4484	-9.1989e-16	-0.15451	-0.4484
5.7596	-7.3497e-15	-8.744e-16	-2.2797e-15	-5.4475e-15
5.8119	0.4484	-8.2151e-16	0.15451	0.4484
5.8643	0.76942	-7.6209e-16	0.29389	0.76942
5.9167	0.88004	-6.971e-16	0.40451	0.88004
5.969	0.76942	-6.2763e-16	0.47553	0.76942
6.0214	0.5	-5.5483e-16	0.5	0.5
6.0737	0.18164	-4.799e-16	0.47553	0.18164
6.1261	-0.07102	-4.0408e-16	0.40451	-0.07102
6.1785	-0.18164	-3.2859e-16	0.29389	-0.18164
6.2308	-0.13938	-2.5465e-16	0.15451	-0.13938
