0	-156.96
0.05236	-150.32
0.10472	-140.04
0.15708	-133.83
0.20944	-123.99
0.2618	-118.22
0.31416	-108.81
0.36652	-103.49
0.41888	-94.534
0.47124	-89.655
0.5236	-81.149
0.57596	-76.72
0.62832	-68.664
0.68068	-64.685
0.73304	-57.079
0.7854	-53.55
0.83776	-46.393
0.89012	-43.311
0.94248	-36.599
0.99484	-33.961
1.0472	-27.691
1.0996	-25.492
1.1519	-19.657
1.2043	-17.889
1.2566	-12.483
1.309	-11.14
1.3614	-6.1529
1.4137	-5.2247
1.4661	-0.64726
1.5184	-0.12296
1.5708	4.0566
1.6232	4.1893
1.6755	7.984
1.7279	7.7388
1.7802	11.163
1.8326	10.555
1.885	13.625
1.9373	12.671
1.9897	15.403
2.042	14.122
2.0944	16.536
2.1468	14.945
2.1991	17.061
2.2515	15.183
2.3038	17.023
2.3562	14.88
2.4086	16.466
2.4609	14.082
2.5133	15.439
2.5656	12.838
2.618	13.993
2.6704	11.203
2.7227	12.182
2.7751	9.2317
2.8274	10.064
2.8798	6.9822
2.9322	7.6986
2.9845	4.5161
3.0369	5.1481
3.0892	1.8976
3.1416	2.4785
3.194	-0.8059
3.2463	-0.24147
3.2987	-3.5245
3.351	-2.9405
3.4034	-6.1853
3.4558	-5.544
3.5081	-8.7124
3.5605	-7.9749
3.6128	-11.027
3.6652	-10.153
3.7176	-13.048
3.7699	-11.995
3.8223	-14.69
3.8746	-13.416
3.927	-15.866
3.9794	-14.326
4.0317	-16.487
4.0841	-14.633
4.1364	-16.458
4.1888	-14.244
4.2412	-15.684
4.2935	-13.06
4.3459	-14.066
4.3982	-10.982
4.4506	-11.501
4.5029	-7.9056
4.5553	-7.8865
4.6077	-3.7253
4.66	-3.1135
4.7124	1.6681
4.7647	2.9283
4.8171	8.3865
4.8695	10.352
4.9218	16.545
4.9742	19.274
5.0265	26.26
5.0789	29.813
5.1313	37.654
5.1836	42.092
5.236	50.849
5.2883	56.235
5.3407	65.971
5.3931	72.37
5.4454	83.151
5.4978	90.627
5.5501	102.52
5.6025	111.14
5.6549	124.21
5.7072	134.05
5.7596	148.37
5.8119	159.49
5.8643	175.13
5.9167	187.6
5.969	204.63
6.0214	218.53
6.0737	237.03
6.1261	252.43
6.1785	272.46
6.2308	289.45
